customer_id,current_linkedin_activity,email_domain,linkedin_skill_code,mentor_program_involvement,negative_review_in_past_5_years,recruiting_location_code,recruiting_method_code,weekly_consumption,years_of_membership,survey_attitude_towards_company,survey_attitude_towards_product_features,survey_attitude_towards_performance,survey_attitude_towards_usability,survey_attitude_towards_product_quality,survey_attitude_towards_customer_service,customer_churned
2e42bc86-703b-4ade-8731-0905a871713f,2,timesonline.co.uk,43747,2,1,43747,43747,42,2,2,4,3,1,6,1,1
2c72b5d4-3611-4974-acac-eed9dc86f26d,6,nih.gov,21249,4,0,10000,43747,42,6,2,4,3,2,2,3,1
8b4ba6a9-a501-44cb-8502-4434fc65d871,3,mysql.com,10000,3,1,54996,43747,42,3,1,3,6,1,2,3,1
96dc0a4b-8fd2-4d70-a489-bd1cdd84ac97,1,mysql.com,10000,3,1,43747,54996,46,5,2,4,5,1,3,3,1
7695602f-5bc9-450c-b331-cb7448519e4b,2,admin.ch,32498,3,1,88743,77494,46,2,1,3,2,2,7,4,0
dd833304-322b-4d82-ba12-23301e4865f0,3,admin.ch,10000,2,1,10000,88743,34,3,2,3,4,1,6,3,1
1284d67a-97cf-400b-a04c-4cd35008d1f0,6,fastcompany.com,10000,2,1,77494,21249,50,3,1,5,2,1,2,5,0
430323d0-e7ee-4121-9981-99e088abe7b7,1,admin.ch,32498,1,1,21249,21249,46,2,2,6,4,1,7,5,0
fe901026-a4fd-457d-a00f-2b8064d627cf,3,timesonline.co.uk,10000,1,1,43747,54996,42,2,1,6,6,3,3,5,1
d06348a8-e85d-44c5-aa0c-3b9b4cc2b0fd,3,ucoz.com,21249,1,0,21249,43747,46,1,1,6,2,2,5,3,1
6b552974-bb36-421a-a404-baf6f9cc4fa1,3,nih.gov,10000,3,0,21249,21249,42,2,2,3,5,2,6,5,1
60c5df16-d3c8-4fe1-a76b-d366ea5e245d,5,nih.gov,21249,1,1,54996,88743,30,3,4,2,2,1,2,4,1
948f3fe8-51e4-459a-8b4a-e3c925c3ed31,2,ucoz.com,21249,1,1,77494,43747,34,2,1,4,3,2,4,5,1
df292aa0-8db3-4c20-b26e-0a5f5ef73ceb,2,nih.gov,10000,4,0,88743,10000,46,1,4,5,4,3,2,5,1
82a3322a-3684-4513-b37e-35b15576bbf8,4,mysql.com,10000,1,0,21249,21249,34,1,2,3,3,3,2,3,1
b3f9afa5-76c6-4de2-9218-ed019bc4d16d,6,admin.ch,21249,5,0,32498,88743,42,0,2,3,2,1,2,5,1
a55aadda-2e8c-4aef-a9c4-43f84919fa68,1,admin.ch,10000,4,0,77494,43747,50,3,4,3,1,2,7,3,0
effe12f7-887f-4b09-8d99-3609e225f9a6,1,timesonline.co.uk,21249,3,1,77494,21249,42,2,1,3,3,1,7,5,1
5c6b0a7b-1528-4499-a745-9a3888fb94dc,1,fastcompany.com,10000,1,0,88743,32498,38,6,3,5,4,1,4,3,0
c8f65212-e746-461d-b17a-680f37b42294,5,admin.ch,21249,2,1,77494,54996,42,0,1,3,5,1,7,1,1
c98353f9-3a02-4fb1-9b48-15800ba63672,2,mysql.com,10000,1,0,32498,21249,50,1,5,2,4,3,4,4,1
31e4f08d-e018-4b7b-b251-42812f502959,2,ucoz.com,10000,2,0,66245,43747,50,2,2,2,2,2,2,4,0
9f46ab2c-1020-42c1-9362-42f4f5369e15,6,mysql.com,10000,1,1,32498,43747,30,3,1,4,4,3,2,5,1
df154799-b0b9-4530-9093-3573e4408e34,5,fastcompany.com,21249,4,1,54996,43747,42,2,2,2,3,3,2,5,1
a59b1be8-08db-4054-ab5c-2b64dd786cd9,4,nih.gov,21249,3,0,88743,43747,42,3,2,2,3,1,4,3,1
7b045f6a-6e79-4a82-be2f-e552c99ef345,2,mysql.com,10000,3,0,54996,43747,46,2,1,3,3,3,5,3,1
9be8563a-de89-4e04-b6c5-52abc5d0bd86,2,admin.ch,21249,4,1,43747,77494,50,3,3,5,4,2,3,4,1
9384ec14-ef50-4ebb-8592-8afc48a4baba,2,admin.ch,10000,5,1,88743,43747,38,2,3,2,3,3,3,3,1
d4ebada2-9cde-43b3-a0da-c227f165e580,1,fastcompany.com,21249,5,1,10000,66245,38,4,1,6,2,4,1,4,1
5f378916-0637-494f-ab10-b518e7db5aa6,4,nih.gov,21249,2,1,54996,21249,38,1,3,5,3,2,3,2,1
0c72ec05-dddf-4066-8241-32f7e9cefaaa,1,ucoz.com,10000,5,0,77494,32498,38,6,2,1,3,2,3,5,1
