customer_id,current_linkedin_activity,email_domain,linkedin_skill_code,mentor_program_involvement,negative_review_in_past_5_years,recruiting_location_code,recruiting_method_code,weekly_consumption,years_of_membership,survey_attitude_towards_company,survey_attitude_towards_product_features,survey_attitude_towards_performance,survey_attitude_towards_usability,survey_attitude_towards_product_quality,survey_attitude_towards_customer_service
b25f7332-f10c-44b9-a7ab-719237d298b4,2,mysql.com,32498,1,1,32498,32498,50,2,1,6,5,2,5,3
bd1c28cb-75ce-4875-911a-8d004f10d967,6,mysql.com,10000,3,1,32498,43747,34,1,1,3,2,2,3,5
7a7dc2ad-5324-4acb-87af-af7b6d2921f4,1,mysql.com,10000,2,0,77494,43747,50,6,1,5,4,2,5,3
1b74acdf-08c2-4c8d-b0a1-951ac65d4f7c,5,admin.ch,32498,1,0,54996,21249,30,0,2,3,2,1,7,5
c5e93456-d496-4da1-aad7-35fa221341b5,0,fastcompany.com,32498,1,1,66245,32498,46,3,3,5,2,2,3,4
1a1c069e-f345-4a45-9554-28846aa36d47,0,admin.ch,10000,1,1,21249,66245,46,0,2,6,4,2,4,4
2de0a3c1-dda0-4a18-b14e-59a2ecf384e6,2,ucoz.com,10000,3,0,66245,77494,42,6,1,5,3,4,2,5
16a04fe6-88cc-4061-b147-10d14d4a188c,2,timesonline.co.uk,10000,1,0,10000,21249,42,2,1,6,4,1,7,3
a1338e35-d086-4b94-b67c-a8af33074ca7,6,admin.ch,10000,4,1,10000,66245,38,0,1,6,3,2,5,5
b3aed449-89aa-47f2-8de6-c5347295578e,6,ucoz.com,21249,1,0,43747,10000,38,3,1,4,6,2,5,5
a021d54d-08e5-4090-9f4f-ab4f17a865e8,2,timesonline.co.uk,10000,3,1,43747,32498,50,4,2,5,4,1,4,4
358d2288-03db-469e-8354-00d11ce8bfb4,5,admin.ch,10000,1,1,66245,21249,42,2,1,5,2,1,3,3
bf8b5448-c335-4a3a-be67-bae82dcdfc2d,5,ucoz.com,10000,2,1,21249,43747,30,5,3,3,3,4,3,5
0cd1d510-467c-4842-b2bd-3b59bbad8b12,5,fastcompany.com,10000,2,1,54996,88743,50,0,1,5,2,3,3,1
1cbfcf45-3030-4e07-a5f2-88b547e753bb,2,admin.ch,10000,2,0,32498,21249,46,3,1,4,2,1,3,5
602fbccb-5ccf-404a-bbd2-d32b5c7936bc,2,admin.ch,21249,1,0,21249,66245,50,0,1,4,4,2,3,4
94615061-811a-416c-9bdd-4e664fe3ffa9,0,nih.gov,21249,2,0,77494,43747,38,2,1,5,1,3,3,3
60a1d314-82b0-4dd7-b63d-1d1011efc84f,4,ucoz.com,21249,2,0,10000,43747,42,5,3,4,5,3,4,4
eba6f2f2-7750-4536-84a7-52e96fbcffd0,4,ucoz.com,10000,4,0,21249,77494,30,3,1,5,5,1,4,4
970151a6-3e08-4907-a56f-84abf659eb79,5,ucoz.com,21249,1,1,54996,88743,38,3,2,5,4,4,3,5
d8208466-218e-4ae2-a239-f390a66ad83d,2,ucoz.com,21249,1,0,43747,77494,46,5,2,6,2,2,6,4
bb66e65d-a21a-4720-b5a8-1fb16b9c9248,4,mysql.com,21249,1,0,77494,21249,50,2,1,4,3,3,1,5
0702e69f-52ee-424b-95b4-ac7c1898732b,2,admin.ch,21249,1,1,10000,88743,38,6,2,6,5,2,4,4
066a52f1-858a-420e-bce8-e0c1e3101969,4,fastcompany.com,21249,4,1,66245,32498,38,2,3,5,1,2,3,2
3fc8e22d-72aa-4bdd-a2c9-06f66719e1ea,3,timesonline.co.uk,21249,3,1,88743,43747,42,4,2,3,3,3,2,5
